#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 411000      1.08e+00      1.24e-03      5.49e-02    3.9e-04
 412000      1.41e+00      1.65e-02      7.11e-02    3.9e-04
 413000      1.19e+00      2.47e-02      5.90e-02    3.9e-04
 414000      1.08e+00      3.91e-03      5.47e-02    3.9e-04
 415000      1.20e+00      5.78e-03      6.09e-02    3.8e-04
 416000      1.13e+00      1.56e-02      5.71e-02    3.8e-04
 417000      1.35e+00      7.19e-04      6.87e-02    3.8e-04
 418000      1.13e+00      3.34e-04      5.74e-02    3.8e-04
 419000      1.11e+00      1.34e-02      5.62e-02    3.8e-04
 420000      1.30e+00      6.98e-03      6.63e-02    3.8e-04
 421000      1.02e+00      1.02e-02      5.18e-02    3.8e-04
 422000      1.35e+00      3.31e-03      6.93e-02    3.8e-04
 423000      1.52e+00      7.30e-03      7.77e-02    3.8e-04
 424000      1.05e+00      6.91e-03      5.36e-02    3.8e-04
 425000      1.16e+00      6.06e-04      5.96e-02    3.8e-04
 426000      1.10e+00      3.09e-03      5.68e-02    3.8e-04
 427000      1.69e+00      4.54e-03      8.70e-02    3.8e-04
 428000      1.40e+00      1.80e-02      7.15e-02    3.8e-04
 429000      1.26e+00      4.24e-03      6.50e-02    3.8e-04
 430000      1.60e+00      1.79e-05      8.30e-02    3.7e-04
